hub_id,hour,n_sessions,mu_init,sigma_init,mu_target,sigma_target,source
Berlin_Spichernstr,22,1,0.2665,0.1334,0.9798,0.0561,fallback_hub (n=1)
Berlin_Spichernstr,23,0,0.2665,0.1334,0.9798,0.0561,interpolated
Berlin_Tempelhof,9,0,0.252,0.1471,1.0,0.01,interpolated
Berlin_Tempelhof,10,0,0.252,0.1471,1.0,0.01,interpolated
Berlin_Tempelhof,11,0,0.252,0.1471,1.0,0.01,interpolated
Berlin_Tempelhof,12,0,0.252,0.1471,1.0,0.01,interpolated
Berlin_Tempelhof,13,0,0.252,0.1471,1.0,0.01,interpolated
Berlin_Tempelhof,14,0,0.252,0.1471,1.0,0.01,interpolated
Berlin_Tempelhof,15,2,0.252,0.1471,1.0,0.01,fallback_hub (n=2)
Berlin_Tempelhof,16,0,0.252,0.1471,1.0,0.01,interpolated
Berlin_Tempelhof,17,4,0.252,0.1471,1.0,0.01,fallback_hub (n=4)
Berlin_Tempelhof,18,5,0.2033,0.1044,1.0,0.01,empirical
Berlin_Tempelhof,19,4,0.252,0.1471,1.0,0.01,fallback_hub (n=4)
Berlin_Tempelhof,20,0,0.252,0.1471,1.0,0.01,interpolated
Berlin_Tempelhof,21,0,0.252,0.1471,1.0,0.01,interpolated
Berlin_Tempelhof,22,0,0.252,0.1471,1.0,0.01,interpolated
Berlin_Tempelhof,23,0,0.252,0.1471,1.0,0.01,interpolated
Berlin_Wolff_Park,9,0,0.2951,0.1528,0.9779,0.0787,interpolated
Berlin_Wolff_Park,10,0,0.2951,0.1528,0.9779,0.0787,interpolated
Berlin_Wolff_Park,11,0,0.2951,0.1528,0.9779,0.0787,interpolated
Berlin_Wolff_Park,12,0,0.2951,0.1528,0.9779,0.0787,interpolated
Berlin_Wolff_Park,13,0,0.2951,0.1528,0.9779,0.0787,interpolated
Berlin_Wolff_Park,14,1,0.2951,0.1528,0.9779,0.0787,fallback_hub (n=1)
Berlin_Wolff_Park,15,1,0.2951,0.1528,0.9779,0.0787,fallback_hub (n=1)
Berlin_Wolff_Park,16,0,0.2951,0.1528,0.9779,0.0787,interpolated
Berlin_Wolff_Park,17,4,0.2951,0.1528,0.9779,0.0787,fallback_hub (n=4)
